가구식별번호,조사연도,조사차수,조사구식별번호,시도코드,시도명,행정구역유형,도시농촌구분,층화코드,표본조사구코드,조사일자,응답방식,응답상태,주택유형,점유형태,아파트층수,가구유형,가구원수,가구원수구간,가구주성별,가구주연령,가구주연령대,교육수준코드,교육수준,종사상지위,경제활동상태,산업분류,인터넷이용여부,건강상태등급,삶의만족도점수,지역박탈도백분위,통근시간_분,주당근로시간,월근로소득_만원,월사업소득_만원,월이전소득_만원,월기타소득_만원,월총소득_만원,연간가구소득_만원,세금사회보험료_만원,가처분소득_만원,식료품비_만원,주거비_만원,교육비_만원,보건의료비_만원,교통비_만원,기타지출_만원,월총지출_만원,월저축액_만원,1인당가처분소득_만원,균등화가처분소득_만원,주거비부담률,경제스트레스지수,조사가중치,응답자메모
HH-2025-000218,2025,2,ED-0218,R09,경기도,동부,도시,ST-09-동,PSU-0267,2025-08-25,인터넷,완료,아파트,보증부월세,27,1인가구,1,1인,여성,24,20대 이하,5,대학교,비경제활동,비경제활동,,Y,5,5,5,,,0.0,0.0,35,50,85.0,1020.0,4.7,80.3,55,77,3,16,22,23,196,-115.7,80.3,80.3,95.9,31.4,1.81,메모-0218: 소득 항목은 월평균 금액으로 응답
HH-2025-000219,2025,3,ED-0219,R09,경기도,읍부,농촌,ST-09-읍,PSU-0004,2025-04-04,인터넷,완료,연립·다세대,자가,0,부부,2,2인,남성,34,30대,5,대학원,비경제활동,비경제활동,,Y,5,4,5,,,0.0,0.0,15,50,65.0,780.0,3.6,61.4,81,20,0,12,17,35,165,-103.6,30.7,43.4,52.6,31.6,0.67,메모-0219: 온라인 조사 후 전화로 일부 항목 보완
HH-2025-000220,2025,4,ED-0220,R09,경기도,읍부,농촌,ST-09-읍,PSU-0041,2025-05-11,인터넷,완료,아파트,보증부월세,11,기타,3,3~4인,남성,18,20대 이하,4,고등학교,상용근로자,취업,금융·전문서비스,Y,5,3,60,41.5,39.0,410,0.0,30,105,545.0,6540.0,57.2,487.8,114,58,0,16,39,55,282,205.8,162.6,281.6,11.9,31.9,1.035,메모-0220: 교육비와 보건비 영수증을 참고해 응답
HH-2025-000221,2025,1,ED-0221,R09,경기도,면부,농촌,ST-09-면,PSU-0078,2025-06-17,인터넷,완료,단독주택,전세,0,1인가구,1,1인,남성,27,20대 이하,6,대학원,상용근로자,취업,보건·복지,Y,5,4,5,15.0,33.5,400,0.0,15,40,455.0,5460.0,47.8,407.2,40,74,12,16,37,17,196,211.2,407.2,407.2,18.2,28.2,1.4,메모-0221: 응답자가 조사표 작성 기준을 확인함
HH-2025-000222,2025,2,ED-0222,R15,경상북도,읍부,농촌,ST-15-읍,PSU-0115,2025-07-24,인터넷,부분응답,단독주택,자가,0,기타,4,3~4인,여성,44,40대,5,대학교,자영업자,취업,보건·복지,Y,2,3,10,14.5,53.0,0.0,415,75,45,535.0,6420.0,56.2,478.8,127,52,2,7,38,72,298,180.8,119.7,239.4,10.9,27.5,1.765,"메모-0222: 생활비, 주거비 항목 재확인"
HH-2025-000223,2025,3,ED-0223,R15,경상북도,읍부,농촌,ST-15-읍,PSU-0152,2025-08-30,방문면접,완료,아파트,보증부월세,2,기타,3,3~4인,남성,59,50대,4,고등학교,상용근로자,취업,도소매·숙박,N,3,4,10,16.5,40.0,300,0.0,30,10,340.0,4080.0,35.7,304.3,92,66,6,3,35,41,243,61.3,101.4,175.7,21.7,29.7,0.625,메모-0223: 가구원 수 변동 내용을 면접원이 확인
HH-2025-000224,2025,4,ED-0224,R13,전북특별자치도,동부,도시,ST-13-동,PSU-0189,2025-04-09,전화,완료,아파트,자가,9,부부,2,2인,남성,52,50대,5,대학교,자영업자,취업,제조업,Y,4,3,10,27.5,56.5,0.0,450,5,85,540.0,6480.0,56.7,483.3,56,37,0,9,38,32,172,311.3,241.7,341.7,7.7,28.8,0.99,메모-0224: 소득 항목은 월평균 금액으로 응답
HH-2025-000225,2025,1,ED-0225,R16,경상남도,동부,도시,ST-16-동,PSU-0226,2025-05-16,인터넷,완료,아파트,전세,16,부부+자녀,3,3~4인,남성,70,70대 이상,4,고등학교,비경제활동,비경제활동,,Y,2,2,10,,,0.0,0.0,65,10,75.0,900.0,4.1,70.9,115,40,29,14,24,45,267,-196.1,23.6,40.9,56.4,31.7,1.355,메모-0225: 온라인 조사 후 전화로 일부 항목 보완
HH-2025-000226,2025,2,ED-0226,R01,서울특별시,동부,도시,ST-01-동,PSU-0263,2025-06-22,인터넷,완료,아파트,무상,23,1인가구,1,1인,여성,50,50대,6,대학원,실업자,실업,,Y,5,3,10,,,0.0,0.0,25,5,30.0,360.0,1.6,28.4,80,49,11,8,16,17,181,-152.6,28.4,28.4,172.5,32.0,1.72,메모-0226: 교육비와 보건비 영수증을 참고해 응답
HH-2025-000227,2025,3,ED-0227,R02,부산광역시,동부,도시,ST-02-동,PSU-0300,2025-07-29,전화,부분응답,아파트,자가,30,기타,4,3~4인,여성,43,40대,5,대학교,상용근로자,취업,농림어업,Y,5,4,5,52.5,45.0,400,0.0,65,40,505.0,6060.0,53.0,452.0,102,52,43,8,34,49,288,164.0,113.0,226.0,11.5,35.4,0.58,메모-0227: 응답자가 조사표 작성 기준을 확인함
HH-2025-000228,2025,4,ED-0228,R09,경기도,면부,농촌,ST-09-면,PSU-0037,2025-09-04,인터넷,완료,단독주택,전세,0,부부,2,2인,남성,46,40대,5,대학교,비경제활동,비경제활동,,Y,5,3,10,,,0.0,0.0,40,35,75.0,900.0,4.1,70.9,59,35,0,2,18,39,153,-82.1,35.5,50.1,49.4,31.5,0.945,"메모-0228: 생활비, 주거비 항목 재확인"
HH-2025-000229,2025,1,ED-0229,R09,경기도,동부,도시,ST-09-동,PSU-0074,2025-04-14,인터넷,부분응답,아파트,전세,14,한부모,3,3~4인,남성,39,30대,3,중학교,상용근로자,취업,보건·복지,Y,4,3,5,41.5,44.0,385,0.0,10,20,415.0,4980.0,43.6,371.4,109,67,6,18,40,50,290,81.4,123.8,214.4,18.0,33.3,1.31,메모-0229: 가구원 수 변동 내용을 면접원이 확인
HH-2025-000230,2025,2,ED-0230,R05,광주광역시,동부,도시,ST-05-동,PSU-0111,2025-05-21,전화,완료,단독주택,자가,0,부부+자녀,4,3~4인,남성,29,20대 이하,5,대학교,상용근로자,취업,정보통신,Y,4,4,10,13.0,39.5,325,0.0,80,20,425.0,5100.0,44.6,380.4,139,40,11,2,38,53,283,97.4,95.1,190.2,10.5,28.5,1.675,메모-0230: 소득 항목은 월평균 금액으로 응답
HH-2025-000231,2025,3,ED-0231,R11,충청북도,동부,도시,ST-11-동,PSU-0148,2025-06-27,인터넷,완료,아파트,보증부월세,28,부부+자녀,3,3~4인,남성,46,40대,5,대학교,자영업자,취업,농림어업,Y,4,3,5,49.0,54.5,0.0,160,45,40,245.0,2940.0,13.5,231.5,103,103,20,17,34,26,303,-71.5,77.2,133.7,44.5,37.0,0.535,메모-0231: 온라인 조사 후 전화로 일부 항목 보완
HH-2025-000232,2025,4,ED-0232,R06,대전광역시,동부,도시,ST-06-동,PSU-0185,2025-08-03,인터넷,완료,연립·다세대,자가,0,부부+자녀,4,3~4인,여성,43,40대,5,대학교,실업자,실업,,Y,4,4,5,,,0.0,0.0,60,40,100.0,1200.0,5.5,94.5,134,59,38,13,18,30,292,-197.5,23.6,47.2,62.4,31.5,0.9,메모-0232: 교육비와 보건비 영수증을 참고해 응답
HH-2025-000233,2025,1,ED-0233,R07,울산광역시,동부,도시,ST-07-동,PSU-0222,2025-09-09,방문면접,완료,아파트,자가,12,부부+자녀,4,3~4인,여성,56,50대,4,고등학교,임시·일용근로자,취업,도소매·숙박,N,4,4,20,40.0,51.0,135,0.0,0,75,210.0,2520.0,11.6,198.4,112,47,47,5,35,61,307,-108.6,49.6,99.2,23.7,35.0,1.265,메모-0233: 응답자가 조사표 작성 기준을 확인함
HH-2025-000234,2025,2,ED-0234,R02,부산광역시,동부,도시,ST-02-동,PSU-0259,2025-04-19,인터넷,완료,아파트,전세,19,1인가구,1,1인,남성,52,50대,6,대학원,임시·일용근로자,취업,제조업,Y,3,4,10,52.0,44.5,215,0.0,10,0,225.0,2700.0,12.4,212.6,38,87,21,10,41,28,225,-12.4,212.6,212.6,40.9,38.0,1.63,"메모-0234: 생활비, 주거비 항목 재확인"
HH-2025-000235,2025,3,ED-0235,R14,전라남도,동부,도시,ST-14-동,PSU-0296,2025-05-26,방문면접,완료,연립·다세대,자가,0,부부,2,2인,남성,45,40대,4,고등학교,임시·일용근로자,취업,공공·교육,Y,5,3,5,36.5,46.0,195,0.0,75,30,350.0,4200.0,31.5,268.5,62,62,8,2,19,16,169,99.5,134.2,189.9,23.1,33.1,1.995,메모-0235: 가구원 수 변동 내용을 면접원이 확인
HH-2025-000236,2025,4,ED-0236,R17,제주특별자치도,읍부,농촌,ST-17-읍,PSU-0033,2025-07-02,방문면접,완료,연립·다세대,자가,0,부부,2,2인,남성,54,50대,4,고등학교,상용근로자,취업,건설업,N,4,3,15,40.5,32.0,345,0.0,30,20,395.0,4740.0,41.5,353.5,71,19,0,13,29,51,183,245.5,176.8,250.0,5.4,33.0,0.855,메모-0236: 소득 항목은 월평균 금액으로 응답
HH-2025-000237,2025,1,ED-0237,R16,경상남도,동부,도시,ST-16-동,PSU-0070,2025-08-08,인터넷,완료,아파트,자가,10,부부,2,2인,여성,48,50대,5,대학교,상용근로자,취업,도소매·숙박,Y,5,4,20,16.0,36.5,455,0.0,25,10,490.0,5880.0,51.4,438.6,101,60,0,21,24,24,230,208.6,219.3,310.1,13.7,28.0,1.22,메모-0237: 온라인 조사 후 전화로 일부 항목 보완
HH-2025-000238,2025,2,ED-0238,R01,서울특별시,동부,도시,ST-01-동,PSU-0107,2025-09-14,전화,완료,아파트,자가,17,부부+자녀,4,3~4인,남성,32,30대,6,대학원,상용근로자,취업,도소매·숙박,Y,5,3,10,64.5,36.5,640,0.0,25,35,700.0,8400.0,119.0,581.0,124,76,29,7,41,34,311,270.0,145.2,290.5,13.1,38.1,1.585,메모-0238: 교육비와 보건비 영수증을 참고해 응답
HH-2025-000239,2025,3,ED-0239,R16,경상남도,동부,도시,ST-16-동,PSU-0144,2025-04-24,방문면접,완료,아파트,보증부월세,24,부부,2,2인,여성,55,50대,3,중학교,상용근로자,취업,보건·복지,N,2,3,20,26.0,34.5,345,0.0,5,140,490.0,5880.0,51.4,438.6,46,103,8,12,37,41,247,191.6,219.3,310.1,23.5,29.3,1.95,메모-0239: 응답자가 조사표 작성 기준을 확인함
HH-2025-000240,2025,4,ED-0240,R04,인천광역시,동부,도시,ST-04-동,PSU-0181,2025-05-31,인터넷,완료,아파트,자가,1,1인가구,1,1인,남성,30,30대,5,대학교,자영업자,취업,금융·전문서비스,Y,5,4,5,32.0,44.5,0.0,260,0,20,280.0,3360.0,15.4,264.6,60,75,19,6,40,17,217,47.6,264.6,264.6,28.3,32.3,0.81,"메모-0240: 생활비, 주거비 항목 재확인"
HH-2025-000241,2025,1,ED-0241,R06,대전광역시,동부,도시,ST-06-동,PSU-0218,2025-07-07,인터넷,완료,연립·다세대,보증부월세,0,1인가구,1,1인,남성,27,20대 이하,5,대학교,무급가족종사자,취업,보건·복지,Y,4,3,25,46.5,53.0,0.0,115,40,90,245.0,2940.0,13.5,231.5,62,64,0,5,19,38,188,43.5,231.5,231.5,27.6,36.1,1.175,메모-0241: 가구원 수 변동 내용을 면접원이 확인
HH-2025-000242,2025,2,ED-0242,R09,경기도,면부,농촌,ST-09-면,PSU-0255,2025-08-13,방문면접,완료,단독주택,자가,0,1인가구,1,1인,남성,71,70대 이상,5,대학교,비경제활동,비경제활동,,N,3,4,20,,,0.0,0.0,50,75,125.0,1500.0,6.9,118.1,67,41,7,16,31,38,200,-81.9,118.1,118.1,34.7,31.0,1.54,메모-0242: 소득 항목은 월평균 금액으로 응답
HH-2025-000243,2025,3,ED-0243,R15,경상북도,동부,도시,ST-15-동,PSU-0292,2025-09-19,인터넷,완료,단독주택,자가,0,한부모,3,3~4인,남성,47,40대,5,대학교,상용근로자,취업,농림어업,Y,3,4,5,55.0,34.5,595,0.0,10,130,735.0,8820.0,125.0,610.0,114,56,35,6,32,38,281,329.0,203.3,352.2,9.2,34.3,1.905,메모-0243: 온라인 조사 후 전화로 일부 항목 보완
HH-2025-000244,2025,4,ED-0244,R16,경상남도,동부,도시,ST-16-동,PSU-0029,2025-04-29,전화,완료,아파트,전세,29,1인가구,1,1인,여성,29,20대 이하,5,대학교,임시·일용근로자,취업,제조업,Y,5,3,40,57.0,48.5,190,0.0,40,30,260.0,4320.0,14.3,245.7,74,75,4,16,28,27,224,21.7,245.7,245.7,30.5,39.2,0.765,메모-0244: 교육비와 보건비 영수증을 참고해 응답
HH-2025-000245,2025,1,ED-0245,R09,경기도,동부,도시,ST-09-동,PSU-0066,2025-06-05,인터넷,완료,아파트,보증부월세,6,부부,2,2인,여성,42,40대,5,대학교,비경제활동,비경제활동,,Y,3,3,15,,,0.0,0.0,35,15,50.0,600.0,2.8,47.2,56,87,31,2,11,40,227,-179.8,23.6,33.4,184.3,31.9,1.13,메모-0245: 응답자가 조사표 작성 기준을 확인함
HH-2025-000246,2025,2,ED-0246,R03,대구광역시,동부,도시,ST-03-동,PSU-0103,2025-07-12,인터넷,완료,아파트,자가,13,기타,4,3~4인,여성,41,40대,5,대학교,자영업자,취업,공공·교육,Y,4,4,20,25.5,36.5,0.0,565,55,0,620.0,7440.0,105.4,514.6,124,60,21,6,38,48,297,217.6,128.7,257.3,11.7,28.4,1.495,"메모-0246: 생활비, 주거비 항목 재확인"
HH-2025-000247,2025,3,ED-0247,R09,경기도,동부,도시,ST-09-동,PSU-0140,2025-08-18,전화,완료,아파트,자가,20,1인가구,1,1인,여성,44,40대,4,고등학교,비경제활동,비경제활동,,Y,5,4,10,,,0.0,0.0,40,15,55.0,660.0,3.0,52.0,38,47,0,10,15,31,141,-89.0,52.0,52.0,90.4,31.7,1.86,메모-0247: 가구원 수 변동 내용을 면접원이 확인
HH-2025-000248,2025,4,ED-0248,R09,경기도,동부,도시,ST-09-동,PSU-0177,2025-09-24,인터넷,완료,오피스텔,자가,0,부부+자녀,4,3~4인,여성,58,50대,3,중학교,상용근로자,취업,금융·전문서비스,Y,2,2,15,34.5,45.0,340,0.0,85,75,500.0,6000.0,52.5,447.5,103,52,28,8,41,63,295,152.5,111.9,223.8,11.6,30.8,0.72,
HH-2025-000249,2025,1,ED-0249,R07,울산광역시,읍부,도시,ST-07-읍,PSU-0214,2025-05-04,인터넷,완료,연립·다세대,자가,0,기타,4,3~4인,여성,57,50대,5,대학교,실업자,실업,,Y,4,3,5,,,0.0,0.0,10,30,40.0,480.0,2.2,37.8,111,37,39,20,4,55,266,-228.2,9.4,18.9,97.9,32.1,1.085,메모-0249: 온라인 조사 후 전화로 일부 항목 보완
HH-2025-000250,2025,2,ED-0250,R01,서울특별시,면부,농촌,ST-01-면,PSU-0251,2025-06-10,인터넷,완료,아파트,월세,11,3세대,6,5인 이상,여성,35,30대,5,대학교,자영업자,취업,정보통신,Y,5,3,5,46.5,38.0,0.0,410,50,25,485.0,5820.0,50.9,434.1,141,103,74,10,50,72,450,-15.9,72.4,177.2,23.7,34.2,1.45,메모-0250: 교육비와 보건비 영수증을 참고해 응답
HH-2025-000251,2025,3,ED-0251,R16,경상남도,읍부,농촌,ST-16-읍,PSU-0288,2025-07-17,인터넷,완료,단독주택,자가,0,부부+자녀,4,3~4인,남성,70,70대 이상,4,고등학교,비경제활동,비경제활동,,Y,3,4,10,,,0.0,0.0,35,70,105.0,1260.0,5.8,99.2,114,20,6,11,9,44,204,-104.8,24.8,49.6,20.2,31.2,1.815,메모-0251: 응답자가 조사표 작성 기준을 확인함
HH-2025-000252,2025,4,ED-0252,R16,경상남도,면부,농촌,ST-16-면,PSU-0025,2025-08-23,전화,완료,단독주택,자가,0,1인가구,1,1인,남성,61,60대,4,고등학교,비경제활동,비경제활동,,Y,4,3,5,,,0.0,0.0,50,45,95.0,1140.0,5.2,89.8,37,64,0,17,21,27,166,-76.2,89.8,89.8,71.3,31.3,0.675,"메모-0252: 생활비, 주거비 항목 재확인"
HH-2025-000253,2025,1,ED-0253,R05,광주광역시,동부,도시,ST-05-동,PSU-0062,2025-04-02,방문면접,완료,오피스텔,보증부월세,0,3세대,7,5인 이상,남성,54,50대,4,고등학교,상용근로자,취업,제조업,Y,4,2,10,60.5,47.0,380,0.0,60,35,475.0,5700.0,49.9,425.1,197,89,84,2,26,76,474,-48.9,60.7,160.7,20.9,38.8,1.04,메모-0253: 가구원 수 변동 내용을 면접원이 확인
HH-2025-000254,2025,2,ED-0254,R01,서울특별시,동부,도시,ST-01-동,PSU-0099,2025-05-09,인터넷,완료,아파트,보증부월세,9,부부+자녀,5,5인 이상,여성,38,30대,4,고등학교,임시·일용근로자,취업,도소매·숙박,Y,5,3,5,55.5,39.0,190,0.0,25,0,215.0,2580.0,11.8,203.2,118,103,61,13,43,44,382,-178.8,40.6,90.9,50.7,39.6,1.405,메모-0254: 소득 항목은 월평균 금액으로 응답
HH-2025-000255,2025,3,ED-0255,R12,충청남도,면부,농촌,ST-12-면,PSU-0136,2025-06-15,인터넷,완료,단독주택,전세,0,한부모,3,3~4인,여성,36,30대,5,대학교,임시·일용근로자,취업,공공·교육,Y,5,3,5,40.5,40.0,165,0.0,20,0,185.0,2220.0,10.2,174.8,75,43,4,2,23,37,184,-9.2,58.3,100.9,24.6,35.2,1.77,메모-0255: 온라인 조사 후 전화로 일부 항목 보완
HH-2025-000256,2025,4,ED-0256,R03,대구광역시,동부,도시,ST-03-동,PSU-0173,2025-07-22,방문면접,완료,단독주택,자가,0,부부,2,2인,남성,68,60대,3,중학교,상용근로자,취업,기타서비스,N,2,3,5,28.0,38.0,260,0.0,45,130,435.0,5220.0,45.7,389.3,76,39,0,21,34,29,199,190.3,194.7,275.3,10.0,30.1,0.63,메모-0256: 교육비와 보건비 영수증을 참고해 응답
HH-2025-000257,2025,1,ED-0257,R09,경기도,면부,농촌,ST-09-면,PSU-0210,2025-08-28,전화,완료,아파트,자가,30,한부모,3,3~4인,남성,89,70대 이상,4,고등학교,비경제활동,비경제활동,,N,2,2,15,,,0.0,0.0,80,40,120.0,1440.0,6.6,113.4,75,92,1,46,19,49,282,-168.6,37.8,65.5,81.1,31.2,0.995,메모-0257: 응답자가 조사표 작성 기준을 확인함
HH-2025-000258,2025,2,ED-0258,R07,울산광역시,동부,도시,ST-07-동,PSU-0247,2025-04-07,인터넷,완료,연립·다세대,자가,0,1인가구,1,1인,여성,61,60대,5,대학교,자영업자,취업,기타서비스,Y,2,3,20,21.5,40.5,0.0,270,15,50,335.0,4020.0,35.2,299.8,67,37,0,13,30,18,165,134.8,299.8,299.8,12.3,30.1,1.36,"메모-0258: 생활비, 주거비 항목 재확인"
HH-2025-000259,2025,3,ED-0259,R09,경기도,동부,도시,ST-09-동,PSU-0284,2025-05-14,인터넷,완료,아파트,보증부월세,14,3세대,7,5인 이상,여성,64,60대,3,중학교,상용근로자,취업,제조업,Y,2,3,20,42.5,34.0,310,0.0,60,60,430.0,5160.0,45.1,384.9,177,103,23,9,34,65,411,-26.1,55.0,145.5,26.8,33.6,1.725,메모-0259: 가구원 수 변동 내용을 면접원이 확인
HH-2025-000260,2025,4,ED-0260,R05,광주광역시,동부,도시,ST-05-동,PSU-0021,2025-06-20,인터넷,완료,아파트,자가,21,부부,2,2인,여성,53,50대,4,고등학교,상용근로자,취업,공공·교육,Y,3,2,10,44.5,40.5,340,0.0,10,10,360.0,4320.0,37.8,322.2,81,43,9,5,30,31,199,123.2,161.1,227.8,13.3,34.5,0.585,메모-0260: 소득 항목은 월평균 금액으로 응답
HH-2025-000261,2025,1,ED-0261,R02,부산광역시,동부,도시,ST-02-동,PSU-0058,2025-07-27,전화,완료,단독주택,자가,0,1인가구,1,1인,여성,70,70대 이상,1,무학,비경제활동,비경제활동,,N,2,2,5,,,0.0,0.0,15,15,30.0,360.0,1.6,28.4,58,61,25,19,14,28,205,-176.6,28.4,28.4,214.8,32.1,0.95,메모-0261: 온라인 조사 후 전화로 일부 항목 보완
HH-2025-000262,2025,2,ED-0262,R09,경기도,동부,도시,ST-09-동,PSU-0095,2025-09-02,전화,완료,아파트,자가,5,부부+자녀,4,3~4인,여성,63,60대,4,고등학교,임시·일용근로자,취업,보건·복지,N,4,5,25,48.0,43.5,305,0.0,40,85,430.0,5160.0,45.1,384.9,117,44,38,20,26,66,311,73.9,96.2,192.4,11.4,34.9,1.315,메모-0262: 교육비와 보건비 영수증을 참고해 응답
HH-2025-000263,2025,3,ED-0263,R16,경상남도,동부,도시,ST-16-동,PSU-0132,2025-04-12,전화,완료,아파트,자가,12,1인가구,1,1인,여성,62,60대,6,대학원,임시·일용근로자,취업,보건·복지,Y,3,2,5,75.5,47.5,220,0.0,45,100,365.0,4380.0,38.3,326.7,47,71,0,29,38,21,206,120.7,326.7,326.7,21.7,45.6,1.68,메모-0263: 응답자가 조사표 작성 기준을 확인함
HH-2025-000264,2025,4,ED-0264,R17,제주특별자치도,동부,도시,ST-17-동,PSU-0169,2025-05-19,인터넷,완료,아파트,전세,19,3세대,6,5인 이상,여성,18,20대 이하,4,고등학교,학생,비경제활동,,Y,5,4,15,,,0.0,0.0,25,0,25.0,300.0,1.4,23.6,159,46,8,28,17,48,306,-282.4,3.9,9.6,194.9,32.3,0.54,"메모-0264: 생활비, 주거비 항목 재확인"
HH-2025-000265,2025,1,ED-0265,R09,경기도,면부,농촌,ST-09-면,PSU-0206,2025-06-25,방문면접,완료,단독주택,자가,0,부부,2,2인,남성,64,60대,4,고등학교,비경제활동,비경제활동,,N,4,5,5,,,0.0,0.0,20,15,35.0,420.0,1.9,33.1,67,19,0,8,18,30,292,-258.9,16.6,23.4,57.4,32.2,0.905,메모-0265: 가구원 수 변동 내용을 면접원이 확인
HH-2025-000266,2025,2,ED-0266,R04,인천광역시,동부,도시,ST-04-동,PSU-0243,2025-08-01,인터넷,완료,아파트,보증부월세,3,1인가구,1,1인,남성,65,60대,5,대학교,자영업자,취업,도소매·숙박,Y,3,4,15,39.0,46.0,0.0,305,5,115,425.0,5100.0,44.6,380.4,67,88,11,20,32,20,238,142.4,380.4,380.4,23.1,32.5,1.27,메모-0266: 소득 항목은 월평균 금액으로 응답
HH-2025-000267,2025,3,ED-0267,R05,광주광역시,동부,도시,ST-05-동,PSU-0280,2025-09-07,인터넷,완료,단독주택,보증부월세,0,부부,2,2인,남성,47,40대,4,고등학교,자영업자,실업,건설업,Y,5,3,5,48.0,43.0,0.0,240,25,135,400.0,4800.0,42.0,358.0,67,100,23,8,30,38,266,92.0,179.0,253.1,27.9,35.1,1.635,메모-0267: 온라인 조사 후 전화로 일부 항목 보완
HH-2025-000268,2025,4,ED-0268,R09,경기도,읍부,농촌,ST-09-읍,PSU-0017,2025-04-17,인터넷,완료,단독주택,보증부월세,0,기타,3,5인 이상,남성,54,50대,4,고등학교,상용근로자,취업,보건·복지,Y,3,2,5,64.0,50.0,420,0.0,25,10,455.0,5460.0,47.8,407.2,110,74,13,17,29,53,296,111.2,135.7,235.1,18.2,65.0,2.0,메모-0268: 교육비와 보건비 영수증을 참고해 응답
HH-2025-000269,2025,1,ED-0269,R04,인천광역시,동부,도시,ST-04-동,PSU-0054,2025-05-24,인터넷,완료,아파트,자가,24,1인가구,1,1인,여성,32,30대,5,대학교,자영업자,취업,보건·복지,Y,4,4,5,30.5,44.5,0.0,365,25,45,435.0,5220.0,45.7,389.3,49,59,1,4,34,22,169,220.3,389.3,389.3,15.2,30.5,0.86,메모-0269: 응답자가 조사표 작성 기준을 확인함
HH-2025-000270,2025,2,ED-0270,R09,경기도,면부,농촌,ST-09-면,PSU-0091,2025-06-30,인터넷,완료,단독주택,월세,0,부부+자녀,4,3~4인,남성,34,30대,4,고등학교,상용근로자,취업,정보통신,Y,4,3,5,21.0,36.5,195,0.0,45,10,250.0,3000.0,13.8,236.2,103,101,35,13,22,45,319,-82.8,59.0,118.1,42.8,31.1,1.225,"메모-0270: 생활비, 주거비 항목 재확인"
HH-2025-000271,2025,3,ED-0271,R16,경상남도,동부,도시,ST-16-동,PSU-0128,2025-08-06,인터넷,완료,연립·다세대,자가,0,부부,2,2인,여성,51,50대,4,고등학교,상용근로자,취업,도소매·숙박,Y,4,3,5,59.5,39.5,425,0.0,15,135,575.0,6900.0,60.4,514.6,63,70,0,2,39,38,212,302.6,257.3,363.9,13.6,36.9,1.59,메모-0271: 가구원 수 변동 내용을 면접원이 확인
HH-2025-000272,2025,4,ED-0272,R15,경상북도,면부,농촌,ST-15-면,PSU-0165,2025-09-12,인터넷,부분응답,단독주택,보증부월세,0,1인가구,1,1인,남성,34,30대,6,대학원,비경제활동,비경제활동,,Y,4,3,5,,,0.0,0.0,55,25,80.0,960.0,4.4,75.6,55,72,0,25,16,16,184,-108.4,75.6,75.6,95.2,31.5,1.955,메모-0272: 소득 항목은 월평균 금액으로 응답
HH-2025-000273,2025,1,ED-0273,R06,대전광역시,동부,도시,ST-06-동,PSU-0202,2025-04-22,전화,완료,아파트,자가,22,1인가구,1,1인,여성,33,30대,5,대학교,비경제활동,비경제활동,,Y,5,4,10,,,0.0,0.0,0,50,50.0,600.0,2.8,47.2,59,38,0,28,12,21,158,-110.8,47.2,47.2,80.5,31.7,0.815,메모-0273: 온라인 조사 후 전화로 일부 항목 보완
HH-2025-000274,2025,2,ED-0274,R02,부산광역시,동부,도시,ST-02-동,PSU-0239,2025-05-29,방문면접,완료,아파트,자가,29,1인가구,1,1인,여성,73,70대 이상,5,대학교,자영업자,취업,기타서비스,N,3,3,5,9.5,49.0,0.0,350,20,80,450.0,5400.0,47.2,402.8,60,51,13,19,30,37,210,192.8,402.8,402.8,12.7,27.9,1.18,메모-0274: 교육비와 보건비 영수증을 참고해 응답
HH-2025-000275,2025,3,ED-0275,R11,충청북도,동부,도시,ST-11-동,PSU-0276,2025-07-05,전화,완료,연립·다세대,자가,0,부부+자녀,5,5인 이상,남성,48,40대,5,대학교,비경제활동,비경제활동,,Y,3,4,10,,,0.0,0.0,35,40,75.0,900.0,4.1,70.9,135,49,64,14,43,41,346,-275.1,14.2,31.7,69.1,31.8,1.545,메모-0275: 응답자가 조사표 작성 기준을 확인함
HH-2025-000276,2025,4,ED-0276,R09,경기도,동부,도시,ST-09-동,PSU-0013,2025-08-11,전화,완료,아파트,전세,13,부부+자녀,5,5인 이상,남성,35,30대,5,대학교,비경제활동,비경제활동,,Y,5,5,10,,,0.0,0.0,55,140,195.0,2340.0,10.7,184.3,134,85,68,19,27,50,383,-198.7,36.9,82.4,46.1,30.6,1.91,"메모-0276: 생활비, 주거비 항목 재확인"
HH-2025-000277,2025,1,ED-0277,R16,경상남도,면부,농촌,ST-16-면,PSU-0050,2025-09-17,인터넷,완료,아파트,자가,20,1인가구,1,1인,여성,65,60대,5,대학교,임시·일용근로자,취업,금융·전문서비스,Y,3,3,10,20.0,29.0,185,0.0,25,0,210.0,2520.0,11.6,198.4,60,26,18,8,43,8,163,35.4,198.4,198.4,13.1,31.1,0.77,메모-0277: 가구원 수 변동 내용을 면접원이 확인
HH-2025-000278,2025,2,ED-0278,R01,서울특별시,동부,도시,ST-01-동,PSU-0087,2025-04-27,전화,완료,아파트,자가,27,기타,4,3~4인,여성,30,30대,5,대학교,상용근로자,취업,기타서비스,Y,5,5,5,36.0,45.0,480,0.0,20,135,635.0,7620.0,108.0,527.0,86,44,22,17,36,50,255,272.0,131.8,263.5,8.3,30.1,1.135,메모-0278: 소득 항목은 월평균 금액으로 응답
